Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	Estimates Start After
Afghanistan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	196.683	195.27	214.23	248.049	270.189	324.705	380.91	435.472	539.667	614.661	680.5	660.221	650.663	615.091	2013
Albania	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	704.588	791.287	798.011	790.099	764.21	764.529	829.098	806.596	779.387	839.702	671.661	410.32	262.17	456.289	752.493	917.36	"1,009.97"	717.381	818.32	"1,032.26"	"1,127.64"	"1,283.57"	"1,425.13"	"1,846.12"	"2,373.58"	"2,673.73"	"2,975.62"	"3,594.10"	"4,377.04"	"4,130.93"	"4,098.13"	"4,439.56"	"4,249.04"	"4,413.28"	"4,574.80"	"3,946.00"	2010
Algeria	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"2,268.61"	"2,305.51"	"2,254.33"	"2,316.68"	"2,432.72"	"2,753.70"	"2,698.92"	"2,705.11"	"2,143.74"	"2,127.87"	"2,473.51"	"1,819.98"	"1,873.42"	"1,894.95"	"1,542.97"	"1,499.14"	"1,643.27"	"1,658.73"	"1,633.09"	"1,630.07"	"1,794.70"	"1,768.58"	"1,806.86"	"2,128.39"	"2,636.31"	"3,141.03"	"3,508.96"	"3,986.56"	"4,943.50"	"3,886.06"	"4,480.72"	"5,430.57"	"5,574.20"	"5,475.71"	"5,458.88"	"4,174.82"	2015
Angola	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	668.88	609.544	593.834	603.066	622.792	680.914	619.801	690.823	729.631	826.108	885.688	833.503	623.942	439.645	310.813	376.603	431.429	491.926	404.856	371.711	535.473	508.857	690.923	761.596	"1,023.52"	"1,428.46"	"2,052.72"	"2,882.80"	"3,897.51"	"3,393.55"	"3,599.27"	"4,411.58"	"4,744.88"	"4,988.92"	"4,915.92"	"3,876.20"	2015
Antigua and Barbuda	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,920.27"	"2,177.10"	"2,448.57"	"2,752.96"	"3,200.97"	"3,764.00"	"4,617.60"	"5,455.28"	"6,547.27"	"7,273.22"	"7,623.41"	"7,927.57"	"8,084.42"	"8,474.02"	"9,097.24"	"8,675.23"	"9,266.49"	"9,678.30"	"10,074.77"	"10,349.51"	"10,368.64"	"10,063.80"	"10,326.85"	"10,693.95"	"11,315.24"	"12,428.74"	"13,995.04"	"15,725.92"	"16,259.67"	"14,403.92"	"13,413.49"	"13,205.07"	"13,929.37"	"13,733.96"	"13,818.57"	"14,100.43"	2011
Argentina	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"8,106.24"	"6,467.99"	"3,158.51"	"3,841.89"	"4,241.38"	"3,149.68"	"3,739.41"	"3,790.75"	"4,386.53"	"2,779.87"	"4,709.66"	"6,233.39"	"7,420.32"	"7,558.50"	"8,125.91"	"8,053.12"	"8,385.15"	"8,918.83"	"9,005.38"	"8,452.88"	"8,386.59"	"7,851.66"	"2,898.29"	"3,648.06"	"4,314.40"	"5,163.55"	"5,976.08"	"7,315.73"	"9,146.79"	"8,337.81"	"10,412.95"	"12,787.81"	"13,889.79"	"14,488.83"	"13,208.83"	"14,616.72"	2013
Armenia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	31.321	247.884	196.98	399.576	503.774	521.869	608.415	597.241	620.638	692.287	779.122	923.387	"1,180.40"	"1,628.06"	"2,128.15"	"3,079.03"	"3,913.44"	"2,911.76"	"3,128.48"	"3,426.39"	"3,575.53"	"3,732.04"	"3,889.00"	"3,520.95"	2014
Australia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"11,000.99"	"12,521.00"	"12,227.53"	"11,585.13"	"12,567.63"	"10,961.08"	"11,238.55"	"12,990.96"	"16,238.94"	"18,169.33"	"18,826.00"	"18,643.96"	"18,096.19"	"17,451.09"	"19,711.20"	"20,936.80"	"23,192.91"	"23,020.83"	"20,345.56"	"21,744.39"	"20,834.23"	"19,420.74"	"21,628.71"	"27,225.78"	"32,762.13"	"36,143.61"	"37,869.65"	"45,127.40"	"49,190.01"	"45,584.23"	"56,330.16"	"66,769.42"	"68,028.94"	"64,664.26"	"61,165.63"	"51,180.95"	2015
Austria	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"10,707.97"	"9,259.99"	"9,246.95"	"9,396.19"	"8,862.78"	"9,070.48"	"12,857.30"	"16,057.05"	"17,593.41"	"17,508.60"	"21,778.67"	"22,571.33"	"25,012.38"	"24,098.69"	"25,668.07"	"30,289.21"	"29,759.19"	"26,682.83"	"27,328.54"	"27,152.27"	"24,589.19"	"24,510.78"	"26,444.11"	"32,176.92"	"36,754.54"	"38,319.37"	"40,469.86"	"46,652.91"	"51,629.66"	"47,785.55"	"46,757.11"	"51,192.58"	"48,372.14"	"50,586.42"	"51,215.50"	"43,413.63"	2015
Azerbaijan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	159.971	174.875	297.162	312.842	409.191	505.567	540.852	571.507	647.837	693.455	748.31	863.808	"1,019.24"	"1,537.90"	"2,414.91"	"3,759.28"	"5,212.83"	"4,933.36"	"5,847.26"	"7,106.04"	"7,471.77"	"7,934.40"	"8,055.21"	"5,739.43"	2015
The Bahamas	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"9,657.73"	"9,818.39"	"10,803.10"	"11,755.46"	"12,280.71"	"13,200.75"	"14,028.15"	"15,187.69"	"15,468.64"	"17,143.08"	"16,075.84"	"15,487.13"	"15,212.53"	"14,869.21"	"15,403.45"	"15,881.62"	"16,432.61"	"17,198.22"	"18,255.14"	"20,197.85"	"20,894.31"	"21,200.70"	"22,310.51"	"21,970.80"	"22,124.06"	"23,714.44"	"24,215.20"	"24,987.84"	"24,481.89"	"22,952.50"	"22,957.79"	"22,647.32"	"23,842.94"	"23,924.83"	"23,926.42"	"24,309.57"	2013
Bahrain	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"10,189.61"	"11,061.39"	"11,221.70"	"11,117.66"	"11,163.44"	"10,182.37"	"7,695.81"	"8,049.36"	"9,602.79"	"9,668.04"	"10,177.43"	"10,250.15"	"10,534.55"	"11,287.83"	"11,774.53"	"12,140.47"	"12,295.99"	"12,419.43"	"11,563.47"	"10,647.32"	"14,211.51"	"13,891.34"	"13,498.64"	"14,482.93"	"15,960.53"	"17,962.34"	"19,263.41"	"20,903.82"	"23,231.04"	"19,461.09"	"20,823.22"	"24,075.23"	"25,221.25"	"26,166.23"	"26,321.90"	"24,057.58"	2014
Bangladesh	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	274.333	260.211	231.987	236.75	262.124	262.553	267.979	287.84	302.588	324.93	329.494	331.729	324.429	332.768	353.908	383.095	393.525	402.894	407.35	415.371	412.334	406.41	419.69	454.097	485.663	495.486	523.025	584.5	655.954	728.387	807.531	857.496	916.025	"1,030.03"	"1,162.74"	"1,291.97"	2013
Barbados	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"4,071.93"	"4,481.60"	"4,682.55"	"4,971.03"	"5,418.58"	"5,670.82"	"6,226.14"	"6,856.28"	"7,292.54"	"8,070.92"	"8,094.69"	"8,128.65"	"7,828.67"	"8,299.70"	"8,185.55"	"8,603.55"	"9,166.57"	"9,634.21"	"10,834.53"	"11,327.75"	"11,600.22"	"11,547.36"	"11,704.63"	"12,057.65"	"12,887.32"	"14,255.55"	"15,705.39"	"16,549.38"	"16,691.84"	"16,676.98"	"16,079.89"	"15,725.98"	"15,593.34"	"15,698.42"	"15,596.61"	"15,677.42"	2014
Belarus	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	402.774	357.589	474.532	332.219	"1,423.11"	"1,387.86"	"1,507.32"	"1,207.67"	"1,283.84"	"1,247.21"	"1,480.09"	"1,812.49"	"2,370.34"	"3,115.41"	"3,837.41"	"4,726.56"	"6,366.82"	"5,172.24"	"5,812.73"	"6,300.45"	"6,720.35"	"7,723.76"	"8,038.02"	"5,749.10"	2015
Belgium	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"12,596.23"	"10,423.71"	"9,179.72"	"8,673.12"	"8,290.87"	"8,617.62"	"11,948.55"	"14,821.92"	"16,096.82"	"16,187.81"	"20,229.10"	"20,680.41"	"22,952.52"	"21,843.98"	"23,754.02"	"28,616.75"	"27,749.79"	"25,089.91"	"25,604.83"	"25,509.14"	"23,303.13"	"23,193.68"	"25,197.25"	"30,863.07"	"35,722.72"	"37,146.68"	"39,021.77"	"44,638.27"	"48,850.71"	"45,176.03"	"44,691.32"	"47,950.99"	"44,893.95"	"46,725.53"	"47,490.11"	"40,528.93"	2015
Belize	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,148.11"	"1,193.65"	"1,170.80"	"1,200.67"	"1,304.27"	"1,258.66"	"1,332.60"	"1,518.63"	"1,759.22"	"1,976.87"	"2,179.95"	"2,291.93"	"2,603.28"	"2,729.91"	"2,751.79"	"2,863.58"	"2,888.60"	"2,845.15"	"2,888.41"	"3,013.08"	"3,330.96"	"3,388.37"	"3,516.41"	"3,618.47"	"3,743.26"	"3,818.45"	"4,040.72"	"4,143.09"	"4,252.11"	"4,145.95"	"4,321.29"	"4,481.99"	"4,618.26"	"4,648.84"	"4,812.69"	"4,785.26"	2014
Benin	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	461.169	301.491	289.582	248.279	256.749	259.186	320.755	363.866	366.879	329.186	391.836	383.328	417.583	407.402	276.127	362.449	382.222	356.55	374.967	399.06	370.786	373.859	413.418	510.455	571.435	588.1	609.539	686.465	798.583	770.007	734.278	799.768	808.136	883.121	905.581	780.45	2011
Bhutan	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	307.957	323.738	331.996	350.04	353.646	356.027	389.913	456.239	506.507	493.323	524.929	455.209	451.704	480.266	494.125	581.144	606.11	668.031	715.848	730.512	773.491	783.204	842.667	932.757	"1,056.23"	"1,171.86"	"1,288.49"	"1,501.92"	"1,865.18"	"1,721.43"	"1,998.75"	"2,382.11"	"2,445.20"	"2,451.85"	"2,387.86"	"2,590.71"	2014
Bolivia	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	695.535	615.66	668.55	619.896	631.152	668.921	640.939	683.624	712.146	715.525	723.42	777.891	804.735	795.05	804.712	885.679	955.574	"1,005.87"	"1,057.72"	"1,010.58"	"1,005.41"	959.844	914.958	918.468	979.59	"1,049.06"	"1,240.94"	"1,399.80"	"1,749.20"	"1,789.60"	"1,994.91"	"2,394.79"	"2,664.57"	"2,969.52"	"3,146.85"	"3,099.22"	2012
Bosnia and Herzegovina	"Gross domestic product per capita, current prices"	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	983.161	"1,218.93"	"1,445.30"	"1,547.96"	"1,468.88"	"1,522.83"	"1,753.11"	"2,197.05"	"2,611.80"	"2,789.94"	"3,178.85"	"3,912.38"	"4,784.50"	"4,508.16"	"4,404.37"	"4,788.77"	"4,430.53"	"4,681.92"	"4,784.82"	"4,140.48"	2014
